index,type,time,timecode,chapter
0,1,0,00:00:00,19
1,3,190,00:03:10,19
2,2,191,00:03:11,19
3,3,202,00:03:22,19
4,4,203,00:03:23,19
5,3,283,00:04:43,19
6,4,288,00:04:48,19
7,2,359,00:05:59,19
8,3,368,00:06:08,19
9,4,372,00:06:12,19
10,3,454,00:07:34,19
11,4,458,00:07:38,19
12,3,543,00:09:03,19
13,4,545,00:09:05,19
14,3,627,00:10:27,19
15,1,634,00:10:34,19
16,3,1105,00:18:25,19
17,1,1107,00:18:27,19
18,3,1142,00:19:02,19
19,1,1152,00:19:12,19
20,3,1169,00:19:29,19
21,5,1185,00:19:45,19
22,2,2319,00:38:39,19
23,3,2326,00:38:46,19
24,1,2337,00:38:57,19
25,2,2507,00:41:47,19
26,1,2527,00:42:07,19
27,1,2855,00:47:35,20
28,2,3190,00:53:10,20
29,3,3203,00:53:23,20
30,4,3234,00:53:54,20
31,3,3251,00:54:11,20
32,1,3273,00:54:33,20
33,3,3286,00:54:46,20
34,4,3292,00:54:52,20
35,2,3352,00:55:52,20
36,3,3375,00:56:15,20
37,4,3394,00:56:34,20
38,3,3442,00:57:22,20
39,1,3453,00:57:33,20
40,3,3463,00:57:43,20
41,4,3473,00:57:53,20
42,3,3498,00:58:18,20
43,4,3505,00:58:25,20
44,3,3541,00:59:01,20
45,1,3548,00:59:08,20
46,4,3603,01:00:03,20
47,1,4438,01:13:58,20
48,3,4486,01:14:46,20
49,4,4510,01:15:10,20
50,2,4603,01:16:43,20
51,3,4607,01:16:47,20
52,4,4618,01:16:58,20
53,3,4743,01:19:03,20
54,1,4752,01:19:12,20
55,4,4786,01:19:46,20
56,1,4831,01:20:31,20
57,3,4868,01:21:08,20
58,2,4881,01:21:21,20
59,3,4898,01:21:38,20
60,2,4919,01:21:59,20
61,3,4935,01:22:15,20
62,1,5003,01:23:23,21
63,3,5320,01:28:40,21
64,4,5329,01:28:49,21
65,2,5507,01:31:47,21
66,3,5522,01:32:02,21
67,4,5531,01:32:11,21
68,2,5590,01:33:10,21
69,3,5596,01:33:16,21
70,4,5607,01:33:27,21
71,3,5703,01:35:03,21
72,2,5705,01:35:05,21
73,3,6009,01:40:09,21
74,1,6013,01:40:13,21
75,4,6039,01:40:39,21
76,1,6415,01:46:55,21
77,1,6443,01:47:23,22
78,3,6501,01:48:21,22
79,1,6531,01:48:51,22
80,0,6968,01:56:08,22
