index,type,time,timecode,chapter
0,1,0,00:00:00,25
1,3,45,00:00:45,25
2,4,74,00:01:14,25
3,3,166,00:02:46,25
4,4,173,00:02:53,25
5,3,269,00:04:29,25
6,4,286,00:04:46,25
7,2,368,00:06:08,25
8,3,375,00:06:15,25
9,1,380,00:06:20,25
10,3,403,00:06:43,25
11,4,424,00:07:04,25
12,3,468,00:07:48,25
13,5,483,00:08:03,25
14,3,498,00:08:18,25
15,4,522,00:08:42,25
16,3,561,00:09:21,25
17,4,570,00:09:30,25
18,3,799,00:13:19,25
19,4,824,00:13:44,25
20,3,907,00:15:07,25
21,4,914,00:15:14,25
22,3,999,00:16:39,25
23,4,1015,00:16:55,25
24,2,1093,00:18:13,25
25,3,1100,00:18:20,25
26,4,1106,00:18:26,25
27,2,1188,00:19:48,25
28,3,1196,00:19:56,25
29,4,1200,00:20:00,25
30,3,1287,00:21:27,25
31,4,1293,00:21:33,25
32,3,1382,00:23:02,25
33,4,1410,00:23:30,25
34,3,1442,00:24:02,25
35,4,1448,00:24:08,25
36,3,1473,00:24:33,25
37,5,1476,00:24:36,25
38,3,1504,00:25:04,25
39,4,1517,00:25:17,25
40,3,1612,00:26:52,25
41,4,1623,00:27:03,25
42,2,1671,00:27:51,25
43,3,1677,00:27:57,25
44,4,1682,00:28:02,25
45,3,1721,00:28:41,25
46,4,1742,00:29:02,25
47,3,1775,00:29:35,25
48,1,1780,00:29:40,25
49,3,1831,00:30:31,25
50,4,1836,00:30:36,25
51,3,1910,00:31:50,25
52,2,1918,00:31:58,25
53,3,2221,00:37:01,25
54,4,2225,00:37:05,25
55,3,2299,00:38:19,25
56,1,2311,00:38:31,26
57,4,2334,00:38:54,26
58,1,2566,00:42:46,26
59,3,2706,00:45:06,26
60,1,2716,00:45:16,26
61,3,3288,00:54:48,26
62,1,3353,00:55:53,26
63,3,3588,00:59:48,26
64,4,3618,01:00:18,26
65,3,3700,01:01:40,26
66,4,3715,01:01:55,26
67,2,3827,01:03:47,26
68,3,3837,01:03:57,26
69,1,3842,01:04:02,26
70,3,3879,01:04:39,26
71,4,3882,01:04:42,26
72,3,3963,01:06:03,26
73,4,3971,01:06:11,26
74,3,4050,01:07:30,26
75,4,4062,01:07:42,26
76,2,4176,01:09:36,26
77,3,4186,01:09:46,26
78,4,4194,01:09:54,26
79,3,4263,01:11:03,26
80,3,4270,01:11:10,27
81,2,4275,01:11:15,27
82,3,4437,01:13:57,27
83,1,4441,01:14:01,27
84,3,4482,01:14:42,27
85,1,4493,01:14:53,27
86,3,4548,01:15:48,27
87,4,4555,01:15:55,27
88,2,4659,01:17:39,27
89,3,4670,01:17:50,27
90,4,4675,01:17:55,27
91,2,4842,01:20:42,27
92,3,4850,01:20:50,27
93,4,4857,01:20:57,27
94,2,4937,01:22:17,27
95,3,4947,01:22:27,27
96,4,4954,01:22:34,27
97,3,4991,01:23:11,27
98,4,4998,01:23:18,27
99,3,5043,01:24:03,27
100,1,5044,01:24:04,27
101,3,5079,01:24:39,27
102,4,5085,01:24:45,27
103,3,5152,01:25:52,27
104,1,5155,01:25:55,27
105,3,5209,01:26:49,27
106,1,5237,01:27:17,27
107,3,5265,01:27:45,27
108,5,5282,01:28:02,27
109,1,5974,01:39:34,27
110,3,5997,01:39:57,27
111,1,6009,01:40:09,27
112,4,6043,01:40:43,27
113,1,6675,01:51:15,27
114,3,6784,01:53:04,27
115,1,6792,01:53:12,27
116,3,6897,01:54:57,27
117,1,6903,01:55:03,27
118,3,7348,02:02:28,27
119,2,7360,02:02:40,27
120,3,7585,02:06:25,27
121,1,7608,02:06:48,27
122,0,7617,02:06:57,27
